"","x"
"1","http://web.archive.org/web/20001025134845id_/http://www.aupairpl.com.pl/"
"2","http://web.archive.org/web/20000407122036id_/http://www.austria.info.pl/"
"3","http://web.archive.org/web/20000407062439id_/http://www.dziennik.com/"
"4","http://web.archive.org/web/20000901060548id_/http://www.promedia.com.pl/dg/"
"5","http://web.archive.org/web/20000301042447id_/http://www.dziennik.krakow.pl/"
"6","http://web.archive.org/web/20000301054721id_/http://www.dw.lublin.pl/"
"7","http://web.archive.org/web/20000229213902id_/http://www.dz.com.pl/"
"8","http://web.archive.org/web/20000303003631id_/http://www.echo-dnia.com.pl/"
"9","http://web.archive.org/web/20000902161411id_/http://www.express.lodz.pl/"
"10","http://web.archive.org/web/20000305225052id_/http://300zx.tuning.pl/"
"11","http://web.archive.org/web/20001025101734id_/http://www.rajdwisly.pl/"
"12","http://web.archive.org/web/20000929162246id_/http://www.tuning.pl/4tech/"
"13","http://web.archive.org/web/20000408183542id_/http://www.alfaromeo.com.pl/"
"14","http://web.archive.org/web/20000412193603id_/http://www.cbk.waw.pl/"
"15","http://web.archive.org/web/20000930061716id_/http://www.lucas.sim.pl/czarnobyl/"
"16","http://web.archive.org/web/20000411104354id_/http://www.liberty.com.pl/"
"17","http://web.archive.org/web/20000901044220id_/http://gsm.nets.pl/"
"18","http://web.archive.org/web/20000411205956id_/http://www.agnus.com.pl/"
"19","http://web.archive.org/web/20000302235501id_/http://www.alcatel.pl/"
"20","http://web.archive.org/web/20000622091332id_/http://www.gry.kimip.pl/"
"21","http://web.archive.org/web/20000116060013id_/http://pw.mud.pl/"
"22","http://web.archive.org/web/20000610050249id_/http://www.aeo.silesianet.pl/"
"23","http://web.archive.org/web/20000421040013id_/http://www.artem.com.pl/"
"24","http://web.archive.org/web/20000511232509id_/http://www.acton.alpha.pl/"
"25","http://web.archive.org/web/20000817223232id_/http://priv1.onet.pl/poz/best_mp3/"
"26","http://web.archive.org/web/20000511215853id_/http://www.atomic.com.pl/"
"27","http://web.archive.org/web/20000116020756id_/http://www.backstreet.home.pl/"
"28","http://web.archive.org/web/20001018075806id_/http://www.bsb.prv.pl/"
"29","http://web.archive.org/web/20000511085319id_/http://www.alosza.pl/"
"30","http://web.archive.org/web/20001023195337id_/http://multisys.silesianet.pl/"
"31","http://web.archive.org/web/20000620105913id_/http://www.achates.prv.pl/"
"32","http://web.archive.org/web/20000302175659id_/http://www.agroturystyka.org/"
"33","http://web.archive.org/web/20000302153553id_/http://www.agroturystyka.com.pl/"
"34","http://web.archive.org/web/20000303225105id_/http://www.austria.com.pl/"
"35","http://web.archive.org/web/20000311214458id_/http://www.uslhot.polbox.com/"
"36","http://web.archive.org/web/20001109023200id_/http://www.promail.pl/~joker007/"
"37","http://web.archive.org/web/20000510195611id_/http://humorek.cjb.net/"
"38","http://web.archive.org/web/20001206204300id_/http://www.alejaja.prv.pl/"
"39","http://web.archive.org/web/20000930113206id_/http://www.humorek.of.pl/"
"40","http://web.archive.org/web/20000420221219id_/http://www.agros-lowicz.com.pl/"
"41","http://web.archive.org/web/20001025131122id_/http://www.apipol.com.pl/"
"42","http://web.archive.org/web/20001018021446id_/http://www.aquafilter.com.pl/"
"43","http://web.archive.org/web/20001030204113id_/http://www.arras.com.pl/"
"44","http://web.archive.org/web/20000510222001id_/http://body.koti.com.pl/"
"45","http://web.archive.org/web/20000510015722id_/http://www.agp.pl/"
"46","http://web.archive.org/web/20000815061624id_/http://www.usaemb.pl/"
"47","http://web.archive.org/web/20000520024323id_/http://www.info.poznan.pl/BezpiecznyPoznan/bmiasto.html"
"48","http://web.archive.org/web/20001018013103id_/http://1001orgazmow.prv.pl/"
"49","http://web.archive.org/web/20000619122425id_/http://25dziewczyn.prv.pl/"
"50","http://web.archive.org/web/20000303203520id_/http://www.agencje.waw.pl/"
"51","http://web.archive.org/web/20000301141411id_/http://www.towarzyskie.com.pl/"
"52","http://web.archive.org/web/20000524053733id_/http://www.amc.pl/"
"53","http://web.archive.org/web/20000511063630id_/http://www.zabawy.pl/"
"54","http://web.archive.org/web/20000229083256id_/http://www.ea.com/"
"55","http://web.archive.org/web/20000118105521id_/http://www.foxkids.pl/"
"56","http://web.archive.org/web/20000929183856id_/http://clashje.gry.pl/"
"57","http://web.archive.org/web/20000304191139id_/http://www.101porad.pl/"
"58","http://web.archive.org/web/20000116111913id_/http://www.bieganie.com.pl/"
"59","http://web.archive.org/web/20000413084301id_/http://www.sportprofil.pl/"
"60","http://web.archive.org/web/20001020211547id_/http://www.asg.com.pl/"
"61","http://web.archive.org/web/20000304085235id_/http://www.asher.waw.pl/"
"62","http://web.archive.org/web/20000115082142id_/http://www.bistyp-cons.com.pl/"
"63","http://web.archive.org/web/20000510193339id_/http://www.bdf.com.pl/bdf/oferta.htm"
"64","http://web.archive.org/web/20001031124042id_/http://www.borys.com.pl/"
"65","http://web.archive.org/web/20001030171634id_/http://www.brecresco.com.pl/"
"66","http://web.archive.org/web/20000520020812id_/http://www.arpsa.com.pl/"
"67","http://web.archive.org/web/20000123151412id_/http://www.bph.com.pl/biuro.html"
"68","http://web.archive.org/web/20000608224726id_/http://www.bovis.com.pl/"
"69","http://web.archive.org/web/20001026171739id_/http://www.bre7.com.pl/"
"70","http://web.archive.org/web/20000607074948id_/http://www.hackworld.prv.pl/"
"71","http://web.archive.org/web/20000110090015id_/http://sierp.tc.pl/"
"72","http://web.archive.org/web/20000711010101id_/http://cashserwis.iq.pl/"
"73","http://web.archive.org/web/20000421182949id_/http://www.gea.wroc.pl/"
"74","http://web.archive.org/web/20000302101829id_/http://www.anonse.com.pl/"
"75","http://web.archive.org/web/20000822030839id_/http://www.atm.com.pl/%7Ebrulion/"
"76","http://web.archive.org/web/20000301174910id_/http://www.cinema.pl/"
"77","http://web.archive.org/web/20000412114128id_/http://bikb.kabatnet.waw.pl/"
"78","http://web.archive.org/web/20000929182716id_/http://www.einternet.net2000.pl/"
"79","http://web.archive.org/web/20000510073646id_/http://www.abnamro.pl/"
"80","http://web.archive.org/web/20000815235415id_/http://www.bbr.com.pl/"
"81","http://web.archive.org/web/20000308123856id_/http://www.ba-ca.pl/"
"82","http://web.archive.org/web/20000310222945id_/http://www.bgzsa.olsztyn.pl/"
"83","http://web.archive.org/web/20001102084531id_/http://www.acc.pl/"
"84","http://web.archive.org/web/20000929185909id_/http://www.alsi.com.pl/"
"85","http://web.archive.org/web/20000520022903id_/http://www.mec.com.pl/"
"86","http://web.archive.org/web/20000604040952id_/http://www.abisprojekt.com.pl/"
"87","http://web.archive.org/web/20000510011854id_/http://www.aco.pl/"
"88","http://web.archive.org/web/20000302061454id_/http://www.dvd.com.pl/"
"89","http://web.archive.org/web/20000824053258id_/http://www.bowling.pl/"
"90","http://web.archive.org/web/20000511113547id_/http://www.catv.com.pl/oigkk/main.htm"
"91","http://web.archive.org/web/20000408173823id_/http://www.autonet.com.pl/"
"92","http://web.archive.org/web/20000229153735id_/http://www.autosport.com.pl/"
"93","http://web.archive.org/web/20000511031741id_/http://www.autogielda.pl/"
"94","http://web.archive.org/web/20000826045858id_/http://www.aiut.com.pl/"
"95","http://web.archive.org/web/20000301053405id_/http://www.alfa.com.pl/"
"96","http://web.archive.org/web/20000116001439id_/http://195.117.24.35/anarvista/index.htm"
"97","http://web.archive.org/web/20000229202611id_/http://www.agsmedia.pl/"
"98","http://web.archive.org/web/20000914075356id_/http://www.trzepak.pik-net.pl/"
"99","http://web.archive.org/web/20000408180728id_/http://www.animals.pl"
"100","http://web.archive.org/web/20000929182141id_/http://www.olsztyn.tpsa.pl/aik/"
"101","http://web.archive.org/web/20000519052312id_/http://www.caritaspolska.org.pl/"
"102","http://web.archive.org/web/20000302161924id_/http://benchmark.ceti.com.pl/"
"103","http://web.archive.org/web/20000511010537id_/http://www.ok.com.pl/"
"104","http://web.archive.org/web/20000522194347id_/http://www.abj.com.pl/"
"105","http://web.archive.org/web/20000302005317id_/http://www.cyf-kr.edu.pl/"
"106","http://web.archive.org/web/20000929184157id_/http://thorn.stone.pl/"
"107","http://web.archive.org/web/20001102201438id_/http://www.astrix.pl/"
